,customer_id,loyalty_score,product_id,product_category,purchase_count
0,C1,7,P01,house,7
1,C1,7,P02,house,6
2,C1,7,P03,house,9
3,C1,7,P04,house,7
4,C1,7,P05,house,8
5,C1,7,P06,house,5
6,C1,7,P07,house,9
7,C1,7,P08,house,7
8,C1,7,P09,house,4
9,C1,7,P10,house,6
10,C1,7,P11,house,2
11,C1,7,P12,house,6
12,C10,5,P22,fruit_veg,1
13,C10,5,P23,fruit_veg,2
14,C10,5,P24,fruit_veg,1
15,C10,5,P25,fruit_veg,2
16,C10,5,P26,fruit_veg,2
17,C10,5,P28,fruit_veg,2
18,C10,5,P29,fruit_veg,2
19,C10,5,P30,fruit_veg,2
20,C10,5,P31,fruit_veg,1
21,C10,5,P32,fruit_veg,1
22,C10,5,P33,fruit_veg,3
23,C10,5,P34,fruit_veg,1
24,C10,5,P41,food,2
25,C10,5,P42,food,3
26,C10,5,P43,food,1
27,C10,5,P44,food,3
28,C10,5,P45,food,2
29,C10,5,P47,food,4
30,C10,5,P48,food,1
31,C10,5,P49,food,4
32,C10,5,P50,food,2
33,C10,5,P51,food,2
34,C10,5,P52,food,1
35,C10,5,P54,food,2
36,C10,5,P55,food,2
37,C10,5,P56,food,2
38,C10,5,P57,food,2
39,C10,5,P58,food,1
40,C10,5,P59,food,1
41,C10,5,P60,food,3
42,C100,8,P13,clothes,1
43,C100,8,P15,clothes,1
44,C100,8,P16,clothes,3
45,C100,8,P17,clothes,2
46,C100,8,P18,clothes,2
47,C100,8,P19,clothes,2
48,C100,8,P20,clothes,1
49,C100,8,P21,clothes,2
50,C100,8,P23,fruit_veg,1
51,C100,8,P25,fruit_veg,1
52,C100,8,P26,fruit_veg,5
53,C100,8,P29,fruit_veg,2
54,C100,8,P34,fruit_veg,1
55,C100,8,P35,sweets,1
56,C100,8,P36,sweets,4
57,C100,8,P37,sweets,4
58,C100,8,P38,sweets,1
59,C100,8,P39,sweets,3
60,C100,8,P40,sweets,1
61,C100,8,P41,food,2
62,C100,8,P42,food,1
63,C100,8,P44,food,1
64,C100,8,P50,food,3
65,C100,8,P51,food,2
66,C100,8,P52,food,2
67,C100,8,P56,food,1
68,C100,8,P57,food,3
69,C100,8,P58,food,1
70,C100,8,P59,food,2
71,C100,8,P60,food,3
72,C101,2,P05,house,1
73,C101,2,P07,house,1
74,C101,2,P09,house,1
75,C101,2,P11,house,1
76,C101,2,P22,fruit_veg,1
77,C101,2,P24,fruit_veg,3
78,C101,2,P25,fruit_veg,2
79,C101,2,P28,fruit_veg,1
80,C101,2,P29,fruit_veg,1
81,C101,2,P32,fruit_veg,2
82,C101,2,P33,fruit_veg,1
83,C101,2,P34,fruit_veg,1
84,C101,2,P35,sweets,2
85,C101,2,P36,sweets,1
86,C101,2,P39,sweets,1
87,C101,2,P41,food,1
88,C101,2,P53,food,1
89,C101,2,P57,food,1
90,C102,1,P22,fruit_veg,1
91,C102,1,P23,fruit_veg,1
92,C102,1,P24,fruit_veg,2
93,C102,1,P27,fruit_veg,1
94,C102,1,P28,fruit_veg,2
95,C102,1,P30,fruit_veg,1
96,C102,1,P31,fruit_veg,3
97,C102,1,P32,fruit_veg,1
98,C102,1,P34,fruit_veg,1
99,C102,1,P44,food,1
100,C102,1,P48,food,1
101,C102,1,P49,food,2
102,C102,1,P51,food,1
103,C102,1,P58,food,1
104,C103,7,P25,fruit_veg,1
105,C103,7,P27,fruit_veg,1
106,C103,7,P28,fruit_veg,1
107,C103,7,P29,fruit_veg,1
108,C103,7,P30,fruit_veg,3
109,C103,7,P31,fruit_veg,3
110,C103,7,P36,sweets,3
111,C103,7,P37,sweets,3
112,C103,7,P38,sweets,1
113,C103,7,P39,sweets,4
114,C103,7,P40,sweets,4
115,C103,7,P46,food,1
116,C103,7,P50,food,1
117,C103,7,P53,food,1
118,C103,7,P54,food,1
119,C103,7,P58,food,2
120,C103,7,P60,food,2
121,C104,7,P22,fruit_veg,3
122,C104,7,P23,fruit_veg,4
123,C104,7,P24,fruit_veg,2
124,C104,7,P25,fruit_veg,4
125,C104,7,P26,fruit_veg,5
126,C104,7,P27,fruit_veg,1
127,C104,7,P28,fruit_veg,2
128,C104,7,P29,fruit_veg,2
129,C104,7,P30,fruit_veg,4
130,C104,7,P31,fruit_veg,2
131,C104,7,P32,fruit_veg,5
132,C104,7,P33,fruit_veg,5
133,C104,7,P34,fruit_veg,2
134,C104,7,P35,sweets,5
135,C104,7,P36,sweets,3
136,C104,7,P37,sweets,2
137,C104,7,P38,sweets,3
138,C104,7,P40,sweets,6
139,C105,8,P02,house,2
140,C105,8,P04,house,1
141,C105,8,P05,house,1
142,C105,8,P06,house,1
143,C105,8,P07,house,3
144,C105,8,P22,fruit_veg,1
145,C105,8,P25,fruit_veg,1
146,C105,8,P33,fruit_veg,1
147,C105,8,P35,sweets,1
148,C105,8,P36,sweets,1
149,C105,8,P39,sweets,3
150,C105,8,P44,food,1
151,C105,8,P59,food,1
152,C105,8,P61,bws,2
153,C105,8,P62,bws,4
154,C105,8,P63,bws,2
155,C106,5,P23,fruit_veg,4
156,C106,5,P24,fruit_veg,2
157,C106,5,P25,fruit_veg,3
158,C106,5,P27,fruit_veg,4
159,C106,5,P28,fruit_veg,1
160,C106,5,P29,fruit_veg,2
161,C106,5,P30,fruit_veg,1
162,C106,5,P31,fruit_veg,2
163,C106,5,P32,fruit_veg,2
164,C106,5,P33,fruit_veg,3
165,C106,5,P35,sweets,1
166,C106,5,P36,sweets,1
167,C106,5,P37,sweets,1
168,C106,5,P38,sweets,2
169,C106,5,P39,sweets,1
170,C106,5,P40,sweets,1
171,C106,5,P46,food,2
172,C106,5,P50,food,1
173,C106,5,P52,food,1
174,C106,5,P61,bws,3
175,C106,5,P62,bws,4
176,C106,5,P63,bws,5
177,C106,5,P64,bws,1
178,C107,3,P22,fruit_veg,2
179,C107,3,P23,fruit_veg,2
180,C107,3,P24,fruit_veg,3
181,C107,3,P25,fruit_veg,3
182,C107,3,P26,fruit_veg,1
183,C107,3,P27,fruit_veg,2
184,C107,3,P28,fruit_veg,3
185,C107,3,P29,fruit_veg,2
186,C107,3,P30,fruit_veg,2
187,C107,3,P31,fruit_veg,2
188,C107,3,P32,fruit_veg,4
189,C107,3,P33,fruit_veg,3
190,C107,3,P34,fruit_veg,2
191,C108,8,P41,food,2
192,C108,8,P42,food,4
193,C108,8,P43,food,3
194,C108,8,P44,food,4
195,C108,8,P45,food,5
196,C108,8,P46,food,3
197,C108,8,P47,food,4
198,C108,8,P48,food,2
199,C108,8,P49,food,2
200,C108,8,P50,food,2
201,C108,8,P51,food,2
202,C108,8,P52,food,3
203,C108,8,P53,food,2
204,C108,8,P54,food,1
205,C108,8,P55,food,5
206,C108,8,P56,food,3
207,C108,8,P57,food,6
208,C108,8,P58,food,3
209,C108,8,P59,food,2
210,C108,8,P60,food,1
211,C109,6,P35,sweets,5
212,C109,6,P36,sweets,3
213,C109,6,P37,sweets,5
214,C109,6,P38,sweets,4
215,C109,6,P39,sweets,7
216,C109,6,P40,sweets,7
217,C11,4,P01,house,2
218,C11,4,P03,house,1
219,C11,4,P04,house,1
220,C11,4,P07,house,1
221,C11,4,P10,house,1
222,C11,4,P11,house,1
223,C11,4,P12,house,1
224,C11,4,P24,fruit_veg,3
225,C11,4,P25,fruit_veg,1
226,C11,4,P27,fruit_veg,1
227,C11,4,P28,fruit_veg,2
228,C11,4,P29,fruit_veg,1
229,C11,4,P30,fruit_veg,1
230,C11,4,P31,fruit_veg,1
231,C11,4,P32,fruit_veg,1
232,C11,4,P35,sweets,5
233,C11,4,P37,sweets,4
234,C11,4,P38,sweets,3
235,C11,4,P39,sweets,2
236,C11,4,P40,sweets,5
237,C11,4,P42,food,1
238,C11,4,P43,food,2
239,C11,4,P44,food,2
240,C11,4,P45,food,3
241,C11,4,P46,food,2
242,C11,4,P47,food,3
243,C11,4,P48,food,2
244,C11,4,P50,food,1
245,C11,4,P51,food,2
246,C11,4,P54,food,2
247,C11,4,P56,food,3
248,C11,4,P58,food,3
249,C11,4,P59,food,1
250,C110,3,P42,food,1
251,C110,3,P43,food,2
252,C110,3,P46,food,3
253,C110,3,P48,food,2
254,C110,3,P50,food,2
255,C110,3,P51,food,1
256,C110,3,P55,food,1
257,C110,3,P56,food,1
258,C110,3,P58,food,3
259,C110,3,P61,bws,10
260,C110,3,P62,bws,13
261,C110,3,P63,bws,8
262,C110,3,P64,bws,9
263,C111,1,P02,house,1
264,C111,1,P04,house,1
265,C111,1,P05,house,1
266,C111,1,P08,house,1
267,C111,1,P09,house,2
268,C111,1,P11,house,1
269,C111,1,P26,fruit_veg,1
270,C111,1,P27,fruit_veg,1
271,C111,1,P28,fruit_veg,3
272,C111,1,P32,fruit_veg,1
273,C111,1,P35,sweets,1
274,C111,1,P37,sweets,1
275,C111,1,P38,sweets,1
276,C111,1,P39,sweets,1
277,C111,1,P40,sweets,1
278,C112,3,P01,house,4
279,C112,3,P03,house,3
280,C112,3,P04,house,2
281,C112,3,P06,house,1
282,C112,3,P08,house,1
283,C112,3,P09,house,1
284,C112,3,P10,house,1
285,C112,3,P11,house,3
286,C112,3,P12,house,1
287,C112,3,P35,sweets,2
288,C112,3,P36,sweets,8
289,C112,3,P37,sweets,3
290,C112,3,P38,sweets,3
291,C112,3,P39,sweets,6
292,C112,3,P40,sweets,3
293,C112,3,P46,food,2
294,C112,3,P48,food,1
295,C112,3,P51,food,2
296,C112,3,P52,food,1
297,C112,3,P53,food,1
298,C112,3,P55,food,2
299,C112,3,P56,food,2
300,C112,3,P57,food,2
301,C112,3,P58,food,1
302,C112,3,P59,food,2
303,C112,3,P60,food,1
304,C113,5,P01,house,3
305,C113,5,P02,house,3
306,C113,5,P03,house,3
307,C113,5,P04,house,5
308,C113,5,P06,house,7
309,C113,5,P07,house,1
310,C113,5,P08,house,7
311,C113,5,P09,house,4
312,C113,5,P10,house,1
313,C113,5,P11,house,2
314,C113,5,P12,house,1
315,C114,3,P35,sweets,4
316,C114,3,P36,sweets,6
317,C114,3,P37,sweets,8
318,C114,3,P38,sweets,16
319,C114,3,P39,sweets,9
320,C114,3,P40,sweets,5
321,C114,3,P41,food,1
322,C114,3,P42,food,1
323,C114,3,P43,food,2
324,C114,3,P44,food,3
325,C114,3,P45,food,2
326,C114,3,P46,food,2
327,C114,3,P47,food,2
328,C114,3,P49,food,2
329,C114,3,P50,food,2
330,C114,3,P51,food,2
331,C114,3,P52,food,3
332,C114,3,P56,food,1
333,C114,3,P57,food,5
334,C114,3,P58,food,1
335,C115,1,P22,fruit_veg,1
336,C115,1,P23,fruit_veg,2
337,C115,1,P24,fruit_veg,2
338,C115,1,P25,fruit_veg,3
339,C115,1,P26,fruit_veg,7
340,C115,1,P27,fruit_veg,3
341,C115,1,P28,fruit_veg,2
342,C115,1,P29,fruit_veg,2
343,C115,1,P30,fruit_veg,2
344,C115,1,P31,fruit_veg,3
345,C115,1,P32,fruit_veg,3
346,C115,1,P34,fruit_veg,6
347,C115,1,P35,sweets,4
348,C115,1,P36,sweets,4
349,C115,1,P37,sweets,3
350,C115,1,P38,sweets,3
351,C115,1,P39,sweets,4
352,C115,1,P40,sweets,3
353,C116,5,P22,fruit_veg,1
354,C116,5,P23,fruit_veg,1
355,C116,5,P24,fruit_veg,1
356,C116,5,P25,fruit_veg,2
357,C116,5,P27,fruit_veg,1
358,C116,5,P28,fruit_veg,2
359,C116,5,P29,fruit_veg,1
360,C116,5,P30,fruit_veg,3
361,C116,5,P31,fruit_veg,2
362,C116,5,P32,fruit_veg,1
363,C116,5,P34,fruit_veg,1
364,C116,5,P41,food,3
365,C116,5,P42,food,1
366,C116,5,P43,food,1
367,C116,5,P44,food,3
368,C116,5,P45,food,1
369,C116,5,P46,food,3
370,C116,5,P47,food,1
371,C116,5,P48,food,1
372,C116,5,P49,food,5
373,C116,5,P50,food,1
374,C116,5,P51,food,2
375,C116,5,P52,food,1
376,C116,5,P53,food,2
377,C116,5,P54,food,1
378,C116,5,P55,food,1
379,C116,5,P56,food,3
380,C116,5,P58,food,1
381,C116,5,P59,food,1
382,C116,5,P60,food,2
383,C117,10,P13,clothes,1
384,C117,10,P15,clothes,9
385,C117,10,P16,clothes,1
386,C117,10,P17,clothes,4
387,C117,10,P19,clothes,1
388,C117,10,P20,clothes,3
389,C117,10,P35,sweets,1
390,C117,10,P36,sweets,2
391,C117,10,P37,sweets,6
392,C117,10,P39,sweets,1
393,C117,10,P40,sweets,4
394,C117,10,P41,food,1
395,C117,10,P42,food,1
396,C117,10,P44,food,2
397,C117,10,P46,food,1
398,C117,10,P49,food,1
399,C117,10,P53,food,1
400,C117,10,P55,food,3
401,C117,10,P56,food,3
402,C117,10,P59,food,1
403,C117,10,P60,food,1
404,C118,7,P23,fruit_veg,1
405,C118,7,P25,fruit_veg,1
406,C118,7,P28,fruit_veg,1
407,C118,7,P30,fruit_veg,1
408,C118,7,P31,fruit_veg,1
409,C118,7,P35,sweets,2
410,C118,7,P36,sweets,3
411,C118,7,P37,sweets,5
412,C118,7,P39,sweets,2
413,C118,7,P40,sweets,3
414,C118,7,P42,food,1
415,C118,7,P45,food,1
416,C118,7,P49,food,1
417,C118,7,P50,food,1
418,C118,7,P53,food,1
419,C118,7,P58,food,1
420,C119,7,P02,house,1
421,C119,7,P04,house,1
422,C119,7,P41,food,1
423,C119,7,P44,food,1
424,C119,7,P45,food,3
425,C119,7,P46,food,1
426,C119,7,P48,food,1
427,C119,7,P49,food,2
428,C119,7,P51,food,1
429,C119,7,P54,food,1
430,C119,7,P55,food,1
431,C119,7,P59,food,1
432,C12,8,P22,fruit_veg,2
433,C12,8,P23,fruit_veg,3
434,C12,8,P24,fruit_veg,2
435,C12,8,P25,fruit_veg,5
436,C12,8,P26,fruit_veg,2
437,C12,8,P27,fruit_veg,1
438,C12,8,P28,fruit_veg,3
439,C12,8,P29,fruit_veg,2
440,C12,8,P30,fruit_veg,2
441,C12,8,P31,fruit_veg,2
442,C12,8,P33,fruit_veg,4
443,C12,8,P34,fruit_veg,2
444,C12,8,P35,sweets,1
445,C12,8,P36,sweets,1
446,C12,8,P37,sweets,1
447,C12,8,P38,sweets,3
448,C12,8,P39,sweets,5
449,C12,8,P40,sweets,2
450,C12,8,P61,bws,6
451,C12,8,P62,bws,5
452,C12,8,P63,bws,5
453,C12,8,P64,bws,3
454,C120,9,P41,food,4
455,C120,9,P42,food,1
456,C120,9,P43,food,3
457,C120,9,P44,food,1
458,C120,9,P45,food,2
459,C120,9,P46,food,1
460,C120,9,P47,food,3
461,C120,9,P52,food,4
462,C120,9,P53,food,2
463,C120,9,P54,food,1
464,C120,9,P55,food,3
465,C120,9,P58,food,3
466,C120,9,P59,food,4
467,C120,9,P60,food,4
468,C121,10,P22,fruit_veg,1
469,C121,10,P24,fruit_veg,1
470,C121,10,P26,fruit_veg,1
471,C121,10,P27,fruit_veg,1
472,C121,10,P28,fruit_veg,2
473,C121,10,P30,fruit_veg,1
474,C121,10,P32,fruit_veg,1
475,C121,10,P33,fruit_veg,2
476,C121,10,P61,bws,4
477,C121,10,P62,bws,6
478,C121,10,P63,bws,2
479,C121,10,P64,bws,2
480,C122,10,P15,clothes,3
481,C122,10,P16,clothes,1
482,C122,10,P17,clothes,1
483,C122,10,P18,clothes,1
484,C122,10,P19,clothes,1
485,C122,10,P20,clothes,3
486,C122,10,P21,clothes,2
487,C122,10,P35,sweets,2
488,C122,10,P36,sweets,2
489,C122,10,P37,sweets,1
490,C122,10,P38,sweets,1
491,C122,10,P39,sweets,1
492,C122,10,P40,sweets,1
493,C122,10,P61,bws,4
494,C122,10,P62,bws,2
495,C122,10,P63,bws,5
496,C122,10,P64,bws,2
497,C123,3,P22,fruit_veg,2
498,C123,3,P23,fruit_veg,1
499,C123,3,P24,fruit_veg,1
500,C123,3,P26,fruit_veg,2
501,C123,3,P27,fruit_veg,2
502,C123,3,P30,fruit_veg,1
503,C123,3,P33,fruit_veg,2
504,C123,3,P34,fruit_veg,1
505,C123,3,P61,bws,1
506,C123,3,P62,bws,1
507,C123,3,P64,bws,3
508,C124,7,P01,house,6
509,C124,7,P02,house,1
510,C124,7,P03,house,1
511,C124,7,P04,house,3
512,C124,7,P05,house,4
513,C124,7,P06,house,2
514,C124,7,P07,house,2
515,C124,7,P08,house,1
516,C124,7,P09,house,4
517,C124,7,P10,house,3
518,C124,7,P11,house,2
519,C124,7,P12,house,3
520,C124,7,P41,food,1
521,C124,7,P43,food,2
522,C124,7,P44,food,2
523,C124,7,P46,food,2
524,C124,7,P47,food,2
525,C124,7,P48,food,2
526,C124,7,P49,food,1
527,C124,7,P50,food,1
528,C124,7,P51,food,1
529,C124,7,P52,food,2
530,C124,7,P54,food,1
531,C124,7,P57,food,2
532,C125,1,P24,fruit_veg,1
533,C125,1,P26,fruit_veg,2
534,C125,1,P27,fruit_veg,1
535,C125,1,P28,fruit_veg,1
536,C125,1,P30,fruit_veg,2
537,C125,1,P31,fruit_veg,1
538,C125,1,P32,fruit_veg,3
539,C125,1,P34,fruit_veg,2
540,C125,1,P35,sweets,2
541,C125,1,P36,sweets,1
542,C125,1,P37,sweets,1
543,C125,1,P39,sweets,2
544,C125,1,P44,food,1
545,C125,1,P57,food,1
546,C125,1,P63,bws,1
547,C125,1,P64,bws,5
548,C126,4,P01,house,4
549,C126,4,P02,house,1
550,C126,4,P03,house,2
551,C126,4,P04,house,2
552,C126,4,P05,house,2
553,C126,4,P07,house,3
554,C126,4,P08,house,3
555,C126,4,P09,house,3
556,C126,4,P10,house,3
557,C126,4,P11,house,3
558,C126,4,P12,house,2
559,C126,4,P22,fruit_veg,1
560,C126,4,P23,fruit_veg,1
561,C126,4,P24,fruit_veg,1
562,C126,4,P25,fruit_veg,1
563,C126,4,P26,fruit_veg,2
564,C126,4,P27,fruit_veg,2
565,C126,4,P28,fruit_veg,2
566,C126,4,P29,fruit_veg,2
567,C126,4,P30,fruit_veg,2
568,C126,4,P33,fruit_veg,1
569,C126,4,P34,fruit_veg,4
570,C126,4,P35,sweets,4
571,C126,4,P36,sweets,8
572,C126,4,P37,sweets,9
573,C126,4,P38,sweets,1
574,C126,4,P39,sweets,8
575,C126,4,P40,sweets,9
576,C127,4,P01,house,3
577,C127,4,P02,house,4
578,C127,4,P03,house,3
579,C127,4,P04,house,1
580,C127,4,P05,house,1
581,C127,4,P06,house,1
582,C127,4,P07,house,2
583,C127,4,P08,house,1
584,C127,4,P10,house,1
585,C127,4,P12,house,1
586,C127,4,P13,clothes,7
587,C127,4,P14,clothes,5
588,C127,4,P15,clothes,4
589,C127,4,P16,clothes,4
590,C127,4,P17,clothes,5
591,C127,4,P18,clothes,7
592,C127,4,P19,clothes,7
593,C127,4,P20,clothes,2
594,C127,4,P21,clothes,5
595,C127,4,P61,bws,6
596,C127,4,P62,bws,2
597,C127,4,P63,bws,2
598,C127,4,P64,bws,8
599,C128,5,P35,sweets,1
600,C128,5,P36,sweets,4
601,C128,5,P37,sweets,2
602,C128,5,P38,sweets,4
603,C128,5,P39,sweets,4
604,C128,5,P40,sweets,3
605,C128,5,P42,food,2
606,C128,5,P43,food,2
607,C128,5,P44,food,2
608,C128,5,P46,food,3
609,C128,5,P47,food,2
610,C128,5,P49,food,2
611,C128,5,P50,food,3
612,C128,5,P51,food,1
613,C128,5,P54,food,2
614,C128,5,P56,food,1
615,C128,5,P57,food,3
616,C128,5,P58,food,1
617,C128,5,P59,food,1
618,C128,5,P60,food,1
619,C129,7,P05,house,1
620,C129,7,P08,house,1
621,C129,7,P11,house,1
622,C129,7,P51,food,1
623,C129,7,P59,food,1
624,C129,7,P61,bws,2
625,C129,7,P62,bws,2
626,C129,7,P63,bws,1
627,C129,7,P64,bws,4
628,C13,8,P22,fruit_veg,4
629,C13,8,P23,fruit_veg,2
630,C13,8,P24,fruit_veg,1
631,C13,8,P25,fruit_veg,1
632,C13,8,P26,fruit_veg,3
633,C13,8,P28,fruit_veg,3
634,C13,8,P29,fruit_veg,2
635,C13,8,P30,fruit_veg,3
636,C13,8,P31,fruit_veg,3
637,C13,8,P32,fruit_veg,3
638,C13,8,P33,fruit_veg,5
639,C13,8,P34,fruit_veg,4
640,C13,8,P42,food,1
641,C13,8,P43,food,2
642,C13,8,P44,food,1
643,C13,8,P46,food,2
644,C13,8,P47,food,4
645,C13,8,P48,food,1
646,C13,8,P49,food,2
647,C13,8,P50,food,4
648,C13,8,P52,food,1
649,C13,8,P53,food,4
650,C13,8,P54,food,1
651,C13,8,P55,food,1
652,C13,8,P56,food,1
653,C13,8,P57,food,1
654,C130,7,P23,fruit_veg,1
655,C130,7,P26,fruit_veg,1
656,C130,7,P27,fruit_veg,1
657,C130,7,P28,fruit_veg,1
658,C130,7,P31,fruit_veg,2
659,C130,7,P33,fruit_veg,1
660,C130,7,P35,sweets,2
661,C130,7,P40,sweets,1
662,C130,7,P46,food,2
663,C130,7,P54,food,1
664,C130,7,P57,food,1
665,C130,7,P58,food,1
666,C131,4,P22,fruit_veg,2
667,C131,4,P24,fruit_veg,1
668,C131,4,P25,fruit_veg,1
669,C131,4,P26,fruit_veg,3
670,C131,4,P29,fruit_veg,1
671,C131,4,P30,fruit_veg,1
672,C131,4,P35,sweets,1
673,C131,4,P36,sweets,2
674,C131,4,P37,sweets,1
675,C131,4,P38,sweets,6
676,C131,4,P39,sweets,2
677,C131,4,P40,sweets,3
678,C131,4,P41,food,1
679,C131,4,P42,food,1
680,C131,4,P43,food,2
681,C131,4,P44,food,1
682,C131,4,P45,food,1
683,C131,4,P46,food,1
684,C131,4,P47,food,1
685,C131,4,P49,food,2
686,C131,4,P50,food,4
687,C131,4,P52,food,5
688,C131,4,P53,food,1
689,C131,4,P54,food,3
690,C131,4,P55,food,4
691,C131,4,P56,food,2
692,C131,4,P57,food,1
693,C131,4,P58,food,4
694,C131,4,P59,food,1
695,C131,4,P60,food,1
696,C132,7,P01,house,3
697,C132,7,P02,house,3
698,C132,7,P03,house,1
699,C132,7,P04,house,1
700,C132,7,P05,house,1
701,C132,7,P06,house,4
702,C132,7,P07,house,1
703,C132,7,P08,house,2
704,C132,7,P09,house,5
705,C132,7,P10,house,3
706,C132,7,P11,house,3
707,C132,7,P12,house,1
708,C132,7,P22,fruit_veg,7
709,C132,7,P24,fruit_veg,3
710,C132,7,P25,fruit_veg,3
711,C132,7,P26,fruit_veg,5
712,C132,7,P27,fruit_veg,2
713,C132,7,P28,fruit_veg,6
714,C132,7,P29,fruit_veg,8
715,C132,7,P30,fruit_veg,2
716,C132,7,P31,fruit_veg,5
717,C132,7,P33,fruit_veg,7
718,C132,7,P34,fruit_veg,5
719,C133,3,P26,fruit_veg,2
720,C133,3,P27,fruit_veg,1
721,C133,3,P30,fruit_veg,2
722,C133,3,P34,fruit_veg,2
723,C133,3,P35,sweets,2
724,C133,3,P36,sweets,2
725,C133,3,P37,sweets,1
726,C133,3,P38,sweets,1
727,C133,3,P39,sweets,2
728,C133,3,P40,sweets,3
729,C133,3,P41,food,2
730,C133,3,P44,food,1
731,C133,3,P46,food,1
732,C133,3,P47,food,3
733,C133,3,P50,food,1
734,C133,3,P52,food,1
735,C133,3,P53,food,1
736,C133,3,P54,food,3
737,C133,3,P59,food,1
738,C133,3,P61,bws,7
739,C133,3,P62,bws,4
740,C133,3,P63,bws,4
741,C133,3,P64,bws,2
742,C134,6,P22,fruit_veg,1
743,C134,6,P24,fruit_veg,5
744,C134,6,P25,fruit_veg,1
745,C134,6,P28,fruit_veg,2
746,C134,6,P29,fruit_veg,2
747,C134,6,P31,fruit_veg,3
748,C134,6,P32,fruit_veg,1
749,C134,6,P33,fruit_veg,1
750,C135,2,P04,house,1
751,C135,2,P05,house,1
752,C135,2,P06,house,2
753,C135,2,P07,house,2
754,C135,2,P08,house,1
755,C135,2,P09,house,4
756,C135,2,P10,house,2
757,C135,2,P11,house,1
