customer_id,product_id,price,date_of_purchase

C5,P39,1217,2018-12-01 20:35:00
C5,P35,1293,2018-12-01 20:35:00
C8,P09,470,2018-12-01 10:43:00
C22,P06,859,2018-12-01 21:50:00
C33,P11,1466,2018-12-01 08:08:00
C36,P62,1051,2018-12-01 21:04:00
C36,P64,1053,2018-12-01 21:04:00
C38,P26,1202,2018-12-01 08:44:00
C40,P13,717,2018-12-01 10:18:00
C43,P48,547,2018-12-01 11:47:00
C43,P41,1054,2018-12-01 11:47:00
C46,P03,1192,2018-12-01 07:26:00
C46,P03,624,2018-12-01 07:26:00
C47,P28,1694,2018-12-01 22:25:00
C50,P37,1149,2018-12-01 10:56:00
C50,P38,1794,2018-12-01 10:56:00
C52,P39,1598,2018-12-01 19:41:00
C52,P39,738,2018-12-01 19:41:00
C53,P47,799,2018-12-01 05:53:00
C53,P55,1409,2018-12-01 05:53:00
C56,P58,710,2018-12-01 21:06:00
C59,P31,645,2018-12-01 22:40:00
C64,P39,650,2018-12-01 17:55:00
C64,P37,33,2018-12-01 17:55:00
C66,P53,1739,2018-12-01 22:37:00
C70,P08,299,2018-12-01 06:05:00
C70,P10,1533,2018-12-01 06:05:00
C71,P40,1044,2018-12-01 09:01:00
C81,P27,1481,2018-12-01 04:39:00
C81,P22,462,2018-12-01 04:39:00
C84,P33,1035,2018-12-01 14:51:00
C84,P33,1339,2018-12-01 14:51:00
C85,P26,898,2018-12-01 18:41:00
C85,P30,977,2018-12-01 18:41:00
C86,P48,1010,2018-12-01 21:53:00
C86,P59,955,2018-12-01 21:53:00
C89,P52,133,2018-12-01 15:33:00
C95,P37,945,2018-12-01 03:31:00
C109,P37,1910,2018-12-01 15:29:00
C109,P39,414,2018-12-01 15:29:00
C110,P62,1386,2018-12-01 16:25:00
C115,P38,221,2018-12-01 12:39:00
C120,P60,675,2018-12-01 11:42:00
C120,P53,1895,2018-12-01 11:42:00
C124,P11,638,2018-12-01 17:33:00
C125,P63,934,2018-12-01 21:54:00
C126,P39,741,2018-12-01 07:12:00
C132,P05,277,2018-12-01 11:05:00
C137,P31,503,2018-12-01 06:30:00
C11,P37,111,2018-12-02 17:24:00
C12,P33,309,2018-12-02 03:06:00
C13,P28,1476,2018-12-02 04:39:00
C17,P37,1819,2018-12-02 18:25:00
C17,P39,1871,2018-12-02 18:25:00
C27,P25,161,2018-12-02 12:23:00
C30,P25,992,2018-12-02 11:19:00
C34,P34,1523,2018-12-02 11:49:00
C34,P31,646,2018-12-02 11:49:00
C35,P32,1887,2018-12-02 23:50:00
